accommodates;bathrooms;bedrooms;calculated_host_listings_count;guests_included;host_listings_count;latitude;longitude;minimum_nights;number_of_reviews;d_centre;instant_bookable_t;room_type_Entire home/apt;room_type_Private room;room_type_Shared room;price_category
2;1;1;1;1;1;52,36888411;4,862121145;2;20;2,778172003;0;1;0;0;Low
3;1;1;1;2;1;52,3789471;4,894907736;1;2;0,308009152;1;0;1;0;Low
2;1;2;1;1;2;52,3827448;4,877878282;1;0;1,514415392;0;1;0;0;Low
7;1,5;3;1;4;1;52,35412603;4,907602318;3;14;2,839779152;0;1;0;0;Highest
2;1;1;1;1;3;52,37992741;4,880205021;2;5;1,30675124;0;1;0;0;Mid-High
2;1,5;1;1;1;1;52,37449326;4,885266116;2;33;1,093459732;1;0;1;0;Low
2;1;1;3;2;3;52,38088184;4,869475482;2;23;2,040665614;0;0;1;0;Low
2;1;1;1;2;1;52,35312419;4,855184143;2;2;4,171753832;0;1;0;0;Low
2;1;1;2;1;2;52,37154129;4,873542395;1;51;1,951103809;0;0;1;0;Low
2;1;1;1;1;1;52,32043744;4,944392565;2;0;7,206900369;1;0;1;0;Low
2;1;1;1;1;1;52,36230529;4,868325645;4;7;2,823827747;0;1;0;0;Low
2;1,5;2;3;1;3;52,35360511;4,918294237;2;1;3,117850173;1;1;0;0;Low
4;1;2;1;1;1;52,37117591;4,882620043;3;35;1,446917916;0;1;0;0;Mid-High
4;2;2;2;1;2;52,37393102;4,8907041;3;15;0,831797134;0;1;0;0;Highest
4;1;3;1;1;1;52,38395486;4,867978519;2;8;2,198197951;0;1;0;0;Mid-High
2;1;2;1;1;2;52,34407862;4,904053336;2;8;3,9142336;0;1;0;0;Low
2;1;1;1;1;1;52,35164118;4,941864761;4;7;4,202622967;0;0;1;0;Low
4;1;2;3;4;3;52,38200517;4,8756299;3;22;1,644533252;0;1;0;0;Mid-High
2;1;0;1;1;1;52,32669173;4,948675943;2;18;6,72346875;0;1;0;0;Low
2;1;0;28;1;29;52,36663589;4,902741574;2;1;1,412931301;0;1;0;0;Low
2;1;1;1;2;1;52,36401521;4,890418291;3;2;1,793638084;0;1;0;0;Low
3;1;1;6;2;6;52,36255144;4,896984328;1;5;1,856287526;1;1;0;0;Low
4;1;3;1;2;1;52,35213352;4,911097864;2;235;3,109023343;0;0;1;0;Low
5;1;3;1;1;1;52,35588477;4,87421448;3;0;3,103866925;0;1;0;0;Highest
2;1;1;1;1;1;52,36614311;4,932632208;1;14;2,678720236;1;0;1;0;Low
6;1,5;2;1;4;1;52,35300461;4,934240246;2;4;3,747730301;0;1;0;0;Mid-High
6;2,5;3;1;1;1;52,3423372;4,869220944;1;0;4,579672814;0;1;0;0;Highest
2;1;1;1;1;1;52,37834508;4,834168951;2;0;4,42804892;0;1;0;0;Low
2;1;1;1;1;1;52,35591261;4,871607282;3;23;3,202285685;0;1;0;0;Low
2;1;1;1;1;1;52,37025513;4,93908415;2;18;2,867464966;0;0;1;0;Low
2;1;1;1;2;1;52,35808522;4,857775458;1;14;3,672609253;0;0;1;0;Mid-High
6;1,5;3;1;1;1;52,39697016;4,907679066;1;4;2,053590105;0;1;0;0;Mid-High
2;1;1;3;1;3;52,36392925;4,898180335;2;67;1,697863087;0;0;1;0;Low
2;2;1;1;1;1;52,35600688;4,923969066;1;7;3,067323566;0;0;1;0;Low
